			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Полёт	Полёт	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Полёт}

Позволяет колдующему перелетать через препятствия и пересечённую местность с 40% штрафа к цене шага. Действует 1 ход. В конце хода необходимо приземлиться.
"	"{Полёт базовой ступени}

Позволяет колдующему перелетать через препятствия и пересечённую местность с 40% штрафа к цене шага. Действует 1 ход. В конце хода необходимо приземлиться.
"	"{Полёт продвинутой ступени}

Позволяет колдующему перелетать через препятствия и пересечённую местность с 20% штрафа к цене шага. Действует 1 ход. В конце хода необходимо приземлиться.
"	"{Полёт экспертной ступени}

Позволяет колдующему перелетать через препятствия и пересечённую местность без штрафа к цене шага. Действует 1 ход. В конце хода необходимо приземлиться.
"	 ADV_SPELL
Хождение по Воде	Хожд. по Воде	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Хождение по Воде}

Позволяет колдующему преодолевать водные препятствия с 40% штрафа к цене шага. Действует 1 ход. Необходимо заканчивать ход на суше.
"	"{Хождение по Воде базовой ступени}

Позволяет колдующему преодолевать водные препятствия с 40% штрафа к цене шага. Действует 1 ход. Необходимо заканчивать ход на суше.
"	"{Хождение по Воде продвинутой ступени}

Позволяет колдующему преодолевать водные препятствия с 20% штрафа к цене шага. Действует 1 ход. Необходимо заканчивать ход на суше.
"	"{Хождение по Воде экспертной ступени}

Позволяет колдующему преодолевать водные препятствия без штрафа к цене шага. Действует 1 ход. Необходимо заканчивать ход на суше.
"	 ADV_SPELL
Дверь Измерений	Дверь Изм.	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Дверь Измерений}

Телепортирует колдующего на незанятый участок на карте в зоне видимости героя. Тратит 300 единиц передвижения. Применяется не более одного раза в день каждым героем.
"	"{Дверь Измерений базовой ступени}

Телепортирует колдующего на незанятый участок на карте в зоне видимости героя. Тратит 300 единиц передвижения. Применяется не более двух раз в день каждым героем.
"	"{Дверь Измерений продвинутой ступени}

Телепортирует колдующего на незанятый участок на карте в зоне видимости героя. Тратит 300 единиц передвижения. Применяется не более трёх раз в день каждым героем.
"	"{Дверь Измерений экспертной ступени}

Телепортирует колдующего на незанятый участок на карте в зоне видимости героя. Тратит 200 единиц передвижения. Применяется не более четырёх раз в день каждым героем.
"	 ADV_SPELL
Городской Портал	Гор. Портал	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Городской Портал}

Телепортирует колдующего в ближайший дружественный город. Требует 300 единиц передвижения. В городе не должно быть другого героя.
"	"{Городской Портал базовой ступени}

Телепортирует колдующего в ближайший дружественный город. Требует 300 единиц передвижения. В городе не должно быть другого героя.
"	"{Городской Портал продвинутой ступени}

Телепортирует колдующего в любой выбранный дружественный город. Требует 300 единиц передвижения. В городе не должно быть другого героя.
"	"{Городской Портал экспертной ступени}

Телепортирует колдующего в любой выбранный дружественный город. Требует 200 единиц передвижения. В городе не должно быть другого героя.
"	 ADV_SPELL
																																	
Combat Spells																																	
																																	
Зыбучие Пески	Зыб. Пески	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Зыбучие Пески}

Случайным образом размещает на поле битвы 4 участка зыбучего песка, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является родным. Если нелетающий отряд попал на зыбучий песок, его ход прерывается, а участок с зыбучим песком становится видимым для всех. Длительность зыбучих песков не ограничена.
"	"{Зыбучие Пески базовой ступени}

Случайным образом размещает на поле битвы 4 участка зыбучего песка, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является родным. Если нелетающий отряд попал на зыбучий песок, его ход прерывается, а участок с зыбучим песком становится видимым для всех. Длительность зыбучих песков не ограничена.
"	"{Зыбучие Пески продвинутой ступени}

Случайным образом размещает на поле битвы 6 участков зыбучего песка, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является родным. Если нелетающий отряд попал на зыбучий песок, его ход прерывается, а участок с зыбучим песком становится видимым для всех. Длительность зыбучих песков не ограничена.
"	"{Зыбучие Пески экспертной ступени}

Случайным образом размещает на поле битвы 8 участков зыбучего песка, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является родным. Если нелетающий отряд попал на зыбучий песок, его ход прерывается, а участок с зыбучим песком становится видимым для всех. Длительность зыбучих песков не ограничена.
"	 COMBAT_SPELL|LOCATION_TARGET
Минное Поле	Минное Поле	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Минное Поле}

Случайным образом размещает на поле битвы 4 мины, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является родным. Причиняет урон (сила магии x 10 + 25) любому отряду, не видящему такую мину и наступившему на неё, при этом мина исчезает. В ином случае длительность мин не ограничена.
"	"{Минное Поле базовой ступени}

Случайным образом размещает на поле битвы 4 мины, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является родным. Причиняет урон (сила магии x 10 + 25) любому отряду, не видящему такую мину и наступившему на неё, при этом мина исчезает. В ином случае длительность мин не ограничена.
"	"{Минное Поле продвинутой ступени}

Случайным образом размещает на поле битвы 6 мин, видимых только тому, кто направил заклинание, а также существам, для которых данный тип местности является родным. Причиняет урон (сила магии x 10 + 50) любому отряду, не видящему такую мину и наступившему на неё, при этом мина исчезает. В ином случае длительность мин не ограничена.
"	"{Минное Поле экспертной ступени}

Случайным образом размещает на поле битвы 8 мин, видимых только тому, кто направил заклинание, а также существам, для которых данный тип местности является родным. Причиняет урон (сила магии x 10 + 100) любому отряду, не видящему такую мину и наступившему на неё, при этом мина исчезает. В ином случае длительность мин не ограничена.
"	 COMBAT_SPELL|LOCATION_TARGET
Силовое Поле	Силовое Поле	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Силовое Поле}

Помещает в выбранное место 2-клеточное силовое поле на 2 раунда. Передвижение через эти клетки становится невозможным.
"	"{Силовое Поле базовой ступени}

Помещает в выбранное место 2-клеточное силовое поле на 2 раунда. Передвижение через эти клетки становится невозможным.
"	"{Силовое Поле продвинутой ступени}

Помещает в выбранное место 3-клеточное силовое поле на 2 раунда. Передвижение через эти клетки становится невозможным.
"	"{Силовое Поле экспертной ступени}

Помещает в выбранное место 3-клеточное силовое поле на 2 раунда. Передвижение через эти клетки становится невозможным.
"	 COMBAT_SPELL|LOCATION_TARGET
Стена Огня	Стена Огня	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Стена Огня}

Размещает 2-клеточную огненную стену в указанном месте на 2 раунда. Любой отряд, проходящий через эту стену, получает (сила магии x 10 + 10) повреждений.
"	"{Стена Огня базовой ступени}

Размещает 2-клеточную огненную стену в указанном месте на 2 раунда. Любой отряд, проходящий через эту стену, получает (сила магии x 10 + 10) повреждений.
"	"{Стена Огня продвинутой ступени}

Размещает 3-клеточную огненную стену в указанном месте на 2 раунда. Любой отряд, проходящий через эту стену, получает (сила магии x 10 + 20) повреждений.
"	"{Стена Огня экспертной ступени}

Размещает 3-клеточную огненную стену в указанном месте на 2 раунда. Любой отряд, проходящий через эту стену, получает (сила магии x 10 + 50) повреждений.
"	 COMBAT_SPELL|LOCATION_TARGET
Землетрясение	Землетрясение	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Землетрясение}

Повреждает два случайно выбранных участка стены, ворот или башен замка.
"	"{Землетрясение базовой ступени}

Повреждает два случайно выбранных участка стены, ворот или башен замка.
"	"{Землетрясение продвинутой ступени}

Повреждает три случайно выбранных участка стены, ворот или башен замка.
"	"{Землетрясение экспертной ступени}

Повреждает четыре случайно выбранных участка стены, ворот или башен замка.
"	 COMBAT_SPELL
Волшебная Стрела	Волш. Стрела	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Волшебная Стрела}

Поражает выбранный вражеский отряд разрядом магической энергии. Наносит урон (сила магии x 10 + 10).
"	"{Волшебная Стрела базовой ступени}

Поражает выбранный вражеский отряд разрядом магической энергии. Наносит урон (сила магии x 10 + 10).
"	"{Волшебная Стрела продвинутой ступени}

Поражает выбранный вражеский отряд разрядом магической энергии. Наносит урон (сила магии x 10 + 20).
"	"{Волшебная Стрела экспертной ступени}

Поражает выбранный вражеский отряд разрядом магической энергии. Наносит урон (сила магии x 10 + 30).
"	 COMBAT_SPELL|CREATURE_TARGET
Ледяная Молния	Лед. Молния	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{Ледяная Молния}

Поражает выбранный вражеский отряд льдом. Наносит урон (сила магии x 20 + 10).
"	"{Ледяная Молния базовой ступени}

Поражает выбранный вражеский отряд льдом. Наносит урон (сила магии x 20 + 10).
"	"{Ледяная Молния продвинутой ступени}

Поражает выбранный вражеский отряд льдом. Наносит урон (сила магии x 20 + 20).
"	"{Ледяная Молния экспертной ступени}

Поражает выбранный вражеский отряд льдом. Наносит урон (сила магии x 20 + 50).
"	 COMBAT_SPELL|CREATURE_TARGET
Молния	Молния	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{Молния}

В выбранный вражеский отряд ударяет молния. Цель получает урон (сила магии x 25 + 10).
"	"{Молния базовой ступени}

В выбранный вражеский отряд ударяет молния. Цель получает урон (сила магии x 25 + 10).
"	"{Молния продвинутой ступени}

В выбранный вражеский отряд ударяет молния. Цель получает урон (сила магии x 25 + 20).
"	"{Молния экспертной ступени}

В выбранный вражеский отряд ударяет молния. Цель получает урон (сила магии x 25 + 50).
"	 COMBAT_SPELL|CREATURE_TARGET
Взрыв	Взрыв	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Взрыв}

Причиняет урон (сила магии x 75 + 100) выбранному вражескому отряду. Не действует на боевые машины.
"	"{Взрыв базовой ступени}

Причиняет урон (сила магии x 75 + 100) выбранному вражескому отряду. Не действует на боевые машины.
"	"{Взрыв продвинутой ступени}

Причиняет урон (сила магии x 75 + 200) выбранному вражескому отряду. Не действует на боевые машины.
"	"{Взрыв экспертной ступени}

Причиняет урон (сила магии x 75 + 300) выбранному вражескому отряду. Не действует на боевые машины.
"	 COMBAT_SPELL|CREATURE_TARGET
Цепная Молния	Цепн. Молния	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{Цепная Молния}

В выбранный вражеский отряд, нанося урон (сила магии x 40 + 25), ударяет молния, которая затем переходит на ближайший отряд, причиняя половину урона, затем на следующий отряд, причиняя четверть от начального урона, и так далее. Поражает четыре отряда.
"	"{Цепная Молния базовой ступени}

В выбранный вражеский отряд, нанося урон (сила магии x 40 + 25), ударяет молния, которая затем переходит на ближайший отряд, причиняя половину урона, затем на следующий отряд, причиняя четверть от начального урона, и так далее. Поражает четыре отряда.
"	"{Цепная Молния продвинутой ступени}

В выбранный вражеский отряд, нанося урон (сила магии x 40 + 50), ударяет молния, которая затем переходит на ближайший отряд, причиняя половину урона, затем на следующий отряд, причиняя четверть от начального урона, и так далее. Поражает пять отрядов.
"	"{Цепная Молния экспертной ступени}

В выбранный вражеский отряд, нанося урон (сила магии x 40 + 100), ударяет молния, которая затем переходит на ближайший отряд, причиняя половину урона, затем на следующий отряд, причиняя четверть от начального урона, и так далее. Поражает пять отрядов.
"	 COMBAT_SPELL|CREATURE_TARGET
Кольцо Холода	Кольцо Холода	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Кольцо Холода}

Наносит урон (сила магии x 10 + 15) льдом всем отрядам на клетках, соседствующих с целевой. Сама целевая клетка не подвергается действию заклинания.
"	"{Кольцо Холода базовой ступени}

Наносит урон (сила магии x 10 + 15) льдом всем отрядам на клетках, соседствующих с целевой. Сама целевая клетка не подвергается действию заклинания.
"	"{Кольцо Холода продвинутой ступени}

Наносит урон (сила магии x 10 + 30) льдом всем отрядам на клетках, соседствующих с целевой. Сама целевая клетка не подвергается действию заклинания.
"	"{Кольцо Холода экспертной ступени}

Наносит урон (сила магии x 10 + 60) льдом всем отрядам на клетках, соседствующих с целевой. Сама целевая клетка не подвергается действию заклинания.
"	 COMBAT_SPELL|LOCATION_TARGET
Огненный Шар	Огн. Шар	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Огненный Шар}

На выбранный отряд обрушивается огненный шар, причиняя урон (сила магии x 10 + 15) цели, а также всем отрядам на клетках, соседствующих с целевой.
"	"{Огненный Шар базовой ступени}

На выбранный отряд обрушивается огненный шар, причиняя урон (сила магии x 10 + 15) цели, а также всем отрядам на клетках, соседствующих с целевой.
"	"{Огненный Шар продвинутой ступени}

На выбранный отряд обрушивается огненный шар, причиняя урон (сила магии x 10 + 30) цели, а также всем отрядам на клетках, соседствующих с целевой.
"	"{Огненный Шар экспертной ступени}

На выбранный отряд обрушивается огненный шар, причиняя урон (сила магии x 10 + 60) цели, а также всем отрядам на клетках, соседствующих с целевой.
"	 COMBAT_SPELL|LOCATION_TARGET
Инферно	Инферно	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Инферно}

Огромный взрыв поражает выбранную цель и все клетки на расстоянии 1 и 2 от целевой огнём. Каждый отряд получает урон (сила магии x 10 + 20). Держись подальше, когда это случится!
"	"{Инферно базовой ступени}

Огромный взрыв поражает выбранную цель и все клетки на расстоянии 1 и 2 от целевой огнём. Каждый отряд получает урон (сила магии x 10 + 20). Держись подальше, когда это случится!
"	"{Инферно продвинутой ступени}

Огромный взрыв поражает выбранную цель и все клетки на расстоянии 1 и 2 от целевой огнём. Каждый отряд получает урон (сила магии x 10 + 40). Держись подальше, когда это случится!
"	"{Инферно экспертной ступени}

Огромный взрыв поражает выбранную цель и все клетки на расстоянии 1 и 2 от целевой огнём. Каждый отряд получает урон (сила магии x 10 + 80). Держись подальше, когда это случится!
"	 COMBAT_SPELL|LOCATION_TARGET
Метеоритный Дождь	Метеор. Дождь	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Метеоритный Дождь}

Обрушивает на выбранный отряд и соседние клетки метеоритный дождь. Каждый попавший под его действие отряд получает урон (сила магии x 25 + 25).
"	"{Метеоритный Дождь базовой ступени}

Обрушивает на выбранный отряд и прилегающую территорию метеоритный дождь. Каждый попавший под его действие отряд получает урон (сила магии x 25 + 25).
"	"{Метеоритный Дождь продвинутой ступени}

Обрушивает на выбранный отряд и прилегающую территорию метеоритный дождь. Каждый попавший под его действие отряд получает урон (сила магии x 25 + 50).
"	"{Метеоритный Дождь экспертной ступени}

Обрушивает на выбранный отряд и прилегающую территорию метеоритный дождь. Каждый попавший под его действие отряд получает урон (сила магии x 25 + 100).
"	 COMBAT_SPELL|LOCATION_TARGET
Волна Смерти	Волна Смерти	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Волна Смерти}

Посылает волну смерти по всему полю битвы, которая причиняет урон (сила магии x 5 + 10) всем существам, кроме нежити и боевых машин.
"	"{Волна Смерти базовой ступени}

Посылает волну смерти по всему полю битвы, которая причиняет урон (сила магии x 5 + 10) всем существам, кроме нежити и боевых машин.
"	"{Волна Смерти продвинутой ступени}

Посылает волну смерти по всему полю битвы, которая причиняет урон (сила магии x 5 + 20) всем существам, кроме нежити и боевых машин.
"	"{Волна Смерти экспертной ступени}

Посылает волну смерти по всему полю битвы, которая причиняет урон (сила магии x 5 + 30) всем существам, кроме нежити и боевых машин.
"	 COMBAT_SPELL
Упокоить Нежить	Упок. Нежить	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Упокоить Нежить}

Пытается уничтожить всю нежить на поле битвы. Каждый отряд нежити получает урон (сила магии x 10 + 10).
"	"{Упокоить Нежить базовой ступени}

Пытается уничтожить всю нежить на поле битвы. Каждый отряд нежити получает урон (сила магии x 10 + 10).
"	"{Упокоить Нежить продвинутой ступени}

Пытается уничтожить всю нежить на поле битвы. Каждый отряд нежити получает урон (сила магии x 10 + 20).
"	"{Упокоить Нежить экспертной ступени}

Пытается уничтожить всю нежить на поле битвы. Каждый отряд нежити получает урон (сила магии x 10 + 50).
"	 COMBAT_SPELL
Армагеддон	Армагеддон	4	 	 	x	 	24	20	20	20	40	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Армагеддон}

Вызывает огненный дождь над всем полем битвы и причиняет урон (сила магии x 40 + 30) всем отрядам.
"	"{Армагеддон базовой ступени}

Вызывает огненный дождь над всем полем битвы и причиняет урон (сила магии x 40 + 30) всем отрядам.
"	"{Армагеддон продвинутой ступени}

Вызывает огненный дождь над всем полем битвы и причиняет урон (сила магии x 40 + 60) всем отрядам.
"	"{Армагеддон экспертной ступени}

Вызывает огненный дождь над всем полем битвы и причиняет урон (сила магии x 40 + 120) всем отрядам.
"	 COMBAT_SPELL
Щит	Щит	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Щит}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый отрядом в ближнем бою, на 15%. Заклинание действует число раундов, равное силе магии героя.
"	"{Щит базовой ступени}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый в ближнем бою, на 15%. Заклинание действует число раундов, равное силе магии героя.
"	"{Щит продвинутой ступени}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый в ближнем бою, на 30%. Заклинание действует число раундов, равное силе магии героя.
"	"{Щит экспертной ступени}

Защищает все дружественные отряды, уменьшая урон, получаемый в ближнем бою, на 30%. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Воздушный Щит	Возд. Щит	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Воздушный Щит}

Защищает выбранный дружественный отряд, уменьшая урон, наносимый отряду стрелковыми атаками, на 25%. Заклинание действует число раундов, равное силе магии героя.
"	"{Воздушный Щит базовой ступени}

Защищает выбранный дружественный отряд, уменьшая урон, наносимый отряду стрелковыми атаками, на 25%. Заклинание действует число раундов, равное силе магии героя.
"	"{Воздушный Щит продвинутой ступени}

Защищает выбранный дружественный отряд, уменьшая урон, наносимый отряду стрелковыми атаками, на 50%. Заклинание действует число раундов, равное силе магии героя.
"	"{Воздушный Щит экспертной ступени}

Защищает все дружественные отряды, уменьшая урон, наносимый отряду стрелковыми атаками, на 50%. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Огненный Щит	Огн. Щит	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Огненный Щит}

Наложенный на дружественный отряд Огненный Щит не даёт никакой дополнительной защиты, но любой враг, атакующий в ближнем бою сквозь него, получит 20% от нанесённого урона и сам. Заклинание действует число раундов, равное силе магии героя.
"	"{Огненный Щит базовой ступени}

Наложенный на дружественный отряд Огненный Щит не даёт никакой дополнительной защиты, но любой враг, атакующий в ближнем бою сквозь него, получит 20% от нанесённого урона и сам. Заклинание действует число раундов, равное силе магии героя.
"	"{Огненный Щит продвинутой ступени}

Наложенный на дружественный отряд Огненный Щит не даёт никакой дополнительной защиты, но любой враг, атакующий в ближнем бою сквозь него, получит 25% от нанесённого урона и сам. Заклинание действует число раундов, равное силе магии героя.
"	"{Огненный Щит экспертной ступени}

Наложенный на дружественный отряд Огненный Щит не даёт никакой дополнительной защиты, но любой враг, атакующий в ближнем бою сквозь него, получит 30% от нанесённого урона и сам. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET
Защита от Воздуха	Защ. от Возд.	2		 	 	x	7	5	5	5	0	50	50	25	25	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Защита от Воздуха}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Воздуха на 50%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Воздуха базовой ступени}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Воздуха на 50%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Воздуха продвинутой ступени}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Воздуха на 75%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Воздуха экспертной ступени}

Защищает все дружественные отряды, уменьшая повреждения от заклинаний Воздуха на 75%. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Защита от Огня	Защ. от Огня	1	 		x	 	5	4	4	4	0	50	50	25	25	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Защита от Огня}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Огня на 50%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Огня базовой ступени}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Огня на 50%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Огня продвинутой ступени}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Огня на 75%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Огня экспертной ступени}

Защищает все дружественные отряды, уменьшая повреждения от заклинаний Огня на 75%. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Защита от Воды	Защ. от Воды	1	 	x		 	5	4	4	4	0	50	50	25	25	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Защита от Воды}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Воды на 50%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Воды базовой ступени}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Воды на 50%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Воды продвинутой ступени}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Воды на 75%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Воды экспертной ступени}

Защищает все дружественные отряды, уменьшая повреждения от заклинаний Воды на 75%. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
