	Seer Hut Variant 1	Seer Hut Variant 2	Seer Hut Variant 3	Quest Guard Variant 1	Quest Guard Variant 2	Quest Guard Variant 3	Quest Gate Variant 1	Quest Gate Variant 2	Quest Gate Variant 3
Skill quest log	%s: Провидец %s	%s: Провидец %s	%s: Провидец %s	%s: Открыть проход	%s: Открыть проход	%s: Открыть проход	%s: Пройти через врата	%s: Пройти через врата	%s: Пройти через врата
Defeat hero quest	Когда-то я был богат и знаменит, но меня предали, и судьба обошлась со мной жестоко. Я потерял свои земли, титул и семью, а предатель, %s, наслаждается жизнью. Пожалуйста, восстановите справедливость.	Давным-давно я был влюблён, но герой %s погубил мою возлюбленную. Ради Бога, отомстите за меня этому негодяю, и я смогу умереть спокойно, зная, что справедливость восторжествовала.	Мы сбежали из страны, где правит жестокий герой %s. Если вы прогоните этого негодяя из наших родных краёв, мы щедро вас вознаградим.	Местные стражи охраняют земли от грабительских набегов героя %s и его шайки. Они никому не позволят пройти, пока этот бандит топчет землю.	Охрана была поставлена здесь, чтобы не впускать героя %s, обладающего великой силой и злыми намерениями. Пока он не разбит, никому нельзя проходить.	Королева желает, чтобы кто-нибудь преподал урок хороших манер герою %s, обозвавшему её старой жирной ведьмой. Пока невежа не проучен, она не откроет границу.	На воротах прибит грубо исполненный портрет, а также есть подпись: «Предъявите ухо героя %s, чтобы пройти.»	Королева желает, чтобы кто-нибудь преподал урок хороших манер герою %s, обозвавшему её старой жирной ведьмой. Пока невежа не проучен, она не откроет границу.	Из-за ворот высовывает нос дряхлый старикашка и шамкает: «Сорок лет назад я служил в отряде героя %s, и мне было приказано стеречь эти ворота. С тех пор мне так и не прислали смену. Я хочу, чтобы кто-нибудь проучил эту сволочь!»
Defeat hero progress	Я так надеялся, что вы порадуете меня. Я не могу спокойно смотреть, как %s гуляет на свободе.	Убийца моей любимой, %s, всё ещё жив и здравствует.	Говорят, %s всё ещё жив и сидит на троне. Мы не сможем вернуться домой, пока с ним не будет покончено.	Стражи всё ещё опасаются героя %s, поэтому они вас не пропустят.	%s всё ещё жив и вынашивает чёрные замыслы.	Герой %s до сих пор ещё не научен уму-разуму.	Герой %s всё ещё на свободе и при обоих ушах.	Герой %s до сих пор ещё не научен уму-разуму.	Героя %s все еще не научили, как надо обращаться с подчиненными.
Hero defeated	Я думал, этот день никогда не придёт! % отравлял мою жизнь самим фактом своего существования! Не хотите ли принять от меня награду?	Герой %s получил по заслугам, и я могу дожить свою печальную жизнь в мире. Примете ли вы от меня награду за ваш подвиг?	Герой %s побеждён, наконец-то мы можем вернуться на родину! Примете ли вы эту награду — символ нашей благодарности?	Теперь, когда вы победили героя %s, опасности больше нет. Желаете пройти?	Герой %s побеждён, и охрана может покинуть свой пост. Желаете пройти прямо сейчас?	Вы преподали урок герою %s, и теперь Королева позволит людям проходить. Желаете пройти прямо сейчас?	Ворота отворяются, лишь только вы приближаетесь к ним. Кажется, ухо героя %s наконец можно выбросить — носить с собой эту гадость вам уже надоело. Желаете пройти?	Вы преподали урок герою %s, и теперь Королева пропустит вас. Желаете пройти прямо сейчас?	Старикашка смущенно бормочет: «Знаешь, я тут вспомнил — моим командиром был Бук Красный Нос, а вовсе не %s... Я надеюсь, бедолаге не очень сильно досталось? А ты проходи, проходи, если хочешь…»
Hero quest rollover	(Победить героя: %s)	(Победить героя: %s)	(Победить героя: %s)	(Победить героя: %s)	(Победить героя: %s)	(Победить героя: %s)	(Победить героя: %s)	(Победить героя: %s)	(Победить героя: %s)
Hero quest log	Победить героя %s: Провидец %s	Победить героя %s: Провидец %s	Победить героя %s: Провидец %s	Победить героя %s: Открыть проход	Победить героя %s: Открыть проход	Победить героя %s: Открыть проход	Победить героя %s: Пройти через врата	Победить героя %s: Пройти через врата	Победить героя %s: Пройти через врата
Defeat monster quest	%s разбойничают %s мира. Я вас щедро вознагражу, если в вас найдётся достаточно отваги, чтобы победить их.	%s выжили нас из наших домов %s мира. Если вы сможете их прогнать, мы щедро вас вознаградим.	Мне нужно срочно ехать к больной матери, а %s %s мира преграждают мне путь. Я не воин, сам я с ними не справлюсь. Если бы вы убрали их с дороги, я бы отплатил вам за услугу хорошей ценой.	Эту башню охраняют Опоясанные Рыцари Эрафии. Они позволяют проходить только своим. Чтобы присоединиться к ним, вам необходимо победить таких монстров, как %s %s мира.	%s разгуливают %s мира. Мы не можем открыть ворота, пока они не изгнаны из тех земель.	Мы не открываем двери первому встречному. Докажите свою преданность правому делу — победите таких монстров, как %s %s мира. Только тогда мы разрешим вам пройти.	Эти врата охраняют Опоясанные Рыцари Эрафии. Они позволяют проходить только своим. Чтобы присоединиться к ним, вам необходимо победить таких монстров, как %s %s мира.	Здешний гарнизон в неважной форме — недавно отряд здорово потрепали в бою. Командир просит отомстить обидчикам - тогда он вас пропустит. Вам необходимо победить таких монстров, как %s %s мира.	Мы не открываем двери первому встречному. Докажите свою преданность правому делу — победите таких монстров, как %s %s мира. Только тогда мы разрешим вам пройти.
Defeat monster progress	Не отчаивайтесь. Победить таких чудовищ, как %s %s мира, — трудное задание, но, я верю, вы справитесь.	%s всё ещё %s мира, мы не можем вернуться домой.	%s всё ещё стоят на моём пути %s мира. Пожалуйста, поторопитесь. Маме хуже с каждым днём.	Опоясанные Рыцари не позволяют вам пройти, так как %s %s мира ещё не побеждены вами.	%s всё ещё разгуливают %s мира.	Вы ещё не доказали, что идёте с нами одной дорогой. %s %s мира не побеждены. Оставьте нас.	Опоясанные Рыцари не позволяют вам пройти, так как %s %s мира ещё не побеждены вами.	Стражи не позволяют вам пройти, так как %s %s мира ещё не побеждены вами.	Вы ещё не доказали, что идёте с нами одной дорогой. %s %s мира не побеждены. Оставьте нас.
Monster defeated	Наконец-то, %s побеждены, и местность %s мира в безопасности! Готовы ли вы принять награду?	%s покинули наши дома %s мира, и мы можем вернуться! Примите ли вы нашу награду?	%s побеждены! Я благодарю вас: дорога %s мира свободна. Примите эту награду в знак моей благодарности.	Вести о том, что %s %s мира побеждены вами, быстро дошли до рыцарей. Они согласны принять вас в орден. Желаете пройти?	Теперь, когда %s %s мира побеждены, мы можем открыть ворота. Желаете пройти прямо сейчас?	%s %s мира побеждены, и ваши намерения более не вызывают сомнений. Желаете пройти прямо сейчас?	Вести о том, что %s %s мира побеждены вами, быстро дошли до рыцарей. Они согласны принять вас в орден. Желаете пройти?	Вести о том, что %s %s мира побеждены вами, быстро дошли до стражей. Обрадованный командир согласен пропустить вас. Желаете пройти?	%s %s мира побеждены, и ваши намерения более не вызывают сомнений. Желаете пройти прямо сейчас?
Monster quest rollover	(Победить монстров: %s)	(Победить монстров: %s)	(Победить монстров: %s)	(Победить монстров: %s)	(Победить монстров: %s)	(Победить монстров: %s)	(Победить монстров: %s)	(Победить монстров: %s)	(Победить монстров: %s)
Monster quest log	Победить монстров %s: %s	Победить монстров %s: %s	Победить монстров %s: %s	Победить монстров %s: Открыть проход	Победить монстров %s: Открыть проход	Победить монстров %s: Открыть проход	Победить монстров %s: Пройти через врата	Победить монстров %s: Пройти через врата	Победить монстров %s: Пройти через врата
Artifact quest	В былые времена могущественные волшебники могли создавать зачарованные артефакты, но с годами эти знания были утрачены. Я бы хотел вновь открыть эти секреты, но для этого мне нужно изучить какой-нибудь созданный мудрецами прошлого предмет. Для опытов подойдут такие артефакты, как %s. Если вы их добудете, я щедро вас награжу.	Я всю жизнь торгую артефактами: покупаю, продаю, обмениваю. Закупив последнюю партию новинок, я оказался на мели — спрос на них пока очень низкий. Чтобы поправить дела, я хочу открыть массовое производство популярных, проверенных товаров, но мне нужны образцы. Если вы принесёте мне такие артефакты, как %s, я щедро вас награжу.	Ох, был бы я помоложе — справился бы сам, но сейчас мне нужна ваша помощь. У моего друга недавно украли фамильные ценности, которые ему очень дороги. Выглядят они в точности как %s. Пожалуйста, принесите мне какие-нибудь предметы, подходящие под описание. Даже если это будут не те, что у него украли, я всё равно вас награжу.	Могущественный волшебник владеет этой башней. Он не пропустит вас, пока вы не принесёте ему такие артефакты, как %s.	Эти ворота открываются только специальным ключом: %s. Принесите этот ключ, и вы сможете пройти.	Над закрытыми на засов воротами показывается испуганное носатое лицо. "Я сбежал из дома. Мой безмозглый пёс сожрал драгоценности моей жены, и среди прочего — %s. Я не уйду отсюда, пока не найду замены, чтобы успокоить эту фурию!"	Эти ворота открываются только специальным ключом: %s. Принесите этот ключ, и вы сможете пройти.	Командир стражи этих ворот — отъявленный игрок, и недавно продул в кости не только денежное довольствие на всю роту, но и свой талисман, это %s. Найдите хотя бы эту безделушку, и он позволит вам пройти.	Возле ворот стоит какой-то проходимец. Он окликает вас: «Эй, я знаю, где достать ключ от ворот. Меняю его на артефакт — %s».
Artifact quest progress	Нечем похвастаться? Ничего, такие предметы как %s найти, как правило, не составляет труда. Продолжайте поиски.	Вы всё ещё не нашли это — %s? Продолжайте поиски, но знайте — с каждым днём я теряю деньги!	Ещё не нашли? Ну ладно, продолжайте, я уверен, что %s где-то есть.	Волшебник непоколебим. Без таких артефактов, как %s, никто не пройдёт.	Ключ: %s — ещё не найден, без него никто не пройдёт.	Извините, но так просто её не одурачить. Пока не принесёте %s, я отсюда ни ногой.	Ключ: %s — ещё не найден, без него никто не пройдёт.	Талисман, который проиграл командир стражи — %s — ещё не найден, без него никто не пройдёт.	«Вам нужен ключ, а мне нужно только одно — %s. Больше ни на что я его менять не согласен», — отрезает проходимец.
Artifact quest completion	О, %s — это именно то, что мне нужно! Вот награда, которую я обещал. Желаете ли получить её сейчас?	О да! Это же %s — великолепно! Давайте то, о чём я просил, а я расплачусь с вами согласно договорённости.	Да, %s — это то, что я всё время искал! Вы отдадите это мне?	Волшебник согласился пропустить вас в обмен на такие артефакты, как %s. Желаете пройти прямо сейчас?	Вы можете открыть ворота при помощи ключа: %s, — но при этом он исчезнет. Желаете пройти сейчас?	О, да это же %s, давайте скорее сюда! Хотите, я подарю вам взамен эту псину? Шучу-шучу! Желаете пройти сейчас?	Вы можете открыть ворота при помощи ключа: %s, — но при этом он исчезнет. Желаете пройти сейчас?	Видя, что %s у вас в руках, командир стражи подпрыгивает от возбуждения. Теперь у него снова будет что проигрывать. Хотите отдать ему желаемое и пройти?	«Ага! %s! Ну же, давайте скорее сюда и получайте ваш ключ! Кстати, он одноразовый.» Желаете обменяться и пройти?
Artifact quest rollover	(Найти: %s)	(Найти: %s)	(Найти: %s)	(Найти: %s)	(Найти: %s)	(Найти: %s)	(Найти: %s)	(Найти: %s)	(Найти: %s)
Artifact quest log	%s: Провидец %s	%s: Провидец %s	%s: Провидец %s	%s: Открыть проход	%s: Открыть проход	%s: Открыть проход	%s: Пройти через врата	%s: Пройти через врата	%s: Пройти через врата
Creature quest	Я агент императора в отдалённых провинциях. Недавно его армии понесли в боях серьёзные потери. Нам бы очень не помешало пополнение: %s. Я готов вам щедро за них заплатить.	Путешествия через эти земли опасны, и моему посланнику требуется хорошая охрана. Я думаю, такой отряд, как %s, — то, что нужно. Если бы вы его собрали, я был бы чрезвычайно благодарен.	У нас есть традиция: когда жених едет за невестой, его должен сопровождать почётный эскорт: %s. Я отправился в путь, но попал в засаду — меня ограбили, а свиту перебили. Если вы сможете найти мне новый эскорт, я буду крайне благодарен.	Король хочет получить в свою свиту таких существ, как %s. Необходимо начать поиски за пределами королевства. Приведите их нам, и мы позволим вам пройти.	Каждый год у нас проходит Фестиваль Жизни, и для празднеств нам требуются существа: %s. Приведите их, иначе мы вас не пропустим.	Армия наёмников оккупировала башню. Они говорят, что пропустят вас, если вы приведёте им отряд рекрутов: %s.	За этими пограничными вратами засела армия наёмников. Они заявляют, что пропустят вас, если вы приведёте им отряд рекрутов: %s.	Стражи этих ворот давно не были в бою и хотят размяться. Они просят вас привести хороших воинов, чтобы устроить с ними тренировочную битву. Найдите %s — тогда они вас пропустят.	Эти врата находятся под властью могущественного чернокнижника. Гнусно ухмыляясь, он выдвигает требование. В обмен на разрешение пройти он хочет получить в свое распоряжение «живую силу»: %s.
Creature quest progress	Вы ещё не нашли таких войск, как %s? Пожалуйста, поторопитесь — судьба империи в ваших руках.	Очень жаль, но нам действительно нужна такая охрана, как %s.	Нет, так ничего не получится. Нужен именно такой эскорт: %s, иначе невеста меня отвергнет!	Очень жаль, но наш король хочет видеть только таких существ, как %s, а больше никто ему не нужен.	Никто, кроме таких существ, как %s, не подходит для Фестиваля. Идите и не возвращайтесь без них.	Наёмники всё ещё требуют рекрутов: %s — прежде чем вас пропустить.	Наёмники всё ещё требуют рекрутов: %s — прежде чем вас пропустить.	Стражи всё ещё требуют достойных соперников — %s. Пока не приведете — вас не пропустят	Чернокнижник всё ещё требует «живой силы»: %s — прежде чем вас пропустить.
Creature quest complete	Наконец-то! Это пополнение, %s, спасёт нашу империю! Вот ваша плата. Вы готовы передать эти войска под моё командование?	Великолепно! Вы привели нам отличную охрану: %s. Согласны ли вы отдать её, получив награду?	Спасибо тебе, друг мой! За такой эскорт, как %s, я щедро тебя награжу. Примешь мою благодарность?	Замечательно! Вы нашли существ: %s — которых король так хотел увидеть. Позвольте им пойти с нами, и мы откроем вам дорогу.	Прекрасно! Мы пропустим вас, если передадите нам существ: %s. Хотите пройти прямо сейчас?	Наёмники согласны вас пропустить в обмен на рекрутов: %s. Желаете произвести обмен сейчас?	Наёмники согласны вас пропустить в обмен на рекрутов: %s. Желаете произвести обмен сейчас?	Вы привели стражам достойных соперников — %s, и они согласны вас пропустить. Желаете произвести обмен?	%s в наличии, и чернокнижник согласен вас пропустить. Что он с ними собирается делать - вам даже думать не хочется. Желаете произвести обмен?
Creature quest rollover	(Привести: %s)	(Привести: %s)	(Привести: %s)	(Привести: %s)	(Привести: %s)	(Привести: %s)	(Привести: %s)	(Привести: %s)	(Привести: %s)
Creature quest log	%s: Провидец %s	%s: Провидец %s	%s: Провидец %s	%s: Открыть проход	%s: Открыть проход	%s: Открыть проход	%s: Пройти через врата	%s: Пройти через врата	%s: Пройти через врата
Resource quest	Я ищу способ обращения металлов в золото, но у меня недостаточно материалов для экспериментов. Если бы вы смогли принести мне %s, я бы щедро вас вознаградил.	Пожалуйста, помогите местным сиротам. Если вы пожертвуете %s, мы сможем выстроить им новое жильё. Я готов оказать вам услугу взамен.	Пожалуйста, помогите мне! Меня ограбили по дороге на свадьбу, а на бесприданнице моему любимому жениться не позволят! Если бы вы дали мне %s, я бы вас постаралась отблагодарить.	Здешняя стража требует с каждого путника плату за проход. Они пропустят вас за %s.	Все должны платить Королевскую Подорожную Пошлину. Её размер — %s. Пока не заплатите, не проедете.	Просим прощения, но наш дом — не проходной двор. Если вы принесёте нам %s, мы купим себе другой, а этот хоть с землёй можете сравнять.	Здешняя стража требует с каждого путника плату за проход. Они откроют вам ворота за %s.	Все должны платить Королевскую Подорожную Пошлину. Её размер — %s. Пока не заплатите, не проедете.	Эти врата накрепко заколочены и завалены. Если хотите пройти, придется нанять местных крестьян, чтобы они расчистили проход. Это обойдется вам в %s.
Resource quest progress	Бог ты мой, этого же недостаточно. Мне нужно %s. Я не смогу завершить свои изыскания с теми крохами, что вы принесли.	Если не принесёте %s, нам не хватит на дома для сирот.	Если я не соберу для приданого %s, свадьбы не будет. Помогите мне, молю!	Если вы не принесёте %s, стража вас не пропустит.	Этого недостаточно. Королевская Подорожная Пошлина — %s.	За эти жалкие гроши мы и лачуги не сможем купить. Нам требуется %s, чтобы купить хороший дом.	Если вы не принесёте %s, стража вас не пропустит.	Этого недостаточно. Королевская Подорожная Пошлина — %s.	За расчистку прохода через заколоченные и заваленные врата крестьяне требуют плату — %s. Приходите, когда разбогатеете.
Resource quest complete	Наконец-то! Ну вот, давайте мне %s, а я вам — кое-что взамен.	Вы принесли нам %s! Теперь мы сможем построить сиротам хорошие дома. Хотите принять кое-что в качестве благодарности?	Спаситель мой! Дайте же мне %s, и я вас отблагодарю. Вы согласны?	Здешняя стража требует с каждого путника плату за проход. Они пропустят вас за %s. Вы готовы заплатить пошлину?	Если вы заплатите нам Королевскую Подорожную Пошлину: %s — мы позволим вам пройти. Вы готовы платить?	Этого достаточно. За %s мы сможем построить или купить себе прекрасный дом в другом месте. Вы платите, и мы уходим отсюда, по рукам?	Здешняя стража требует с каждого путника плату за проход. Они откроют вам ворота за %s. Вы готовы заплатить пошлину?	Если вы заплатите нам Королевскую Подорожную Пошлину: %s — мы позволим вам пройти. Вы готовы платить?	Крестьяне готовы принять плату — %s — и расчистить проход. Почему-то вам кажется, что свободным он будет оставаться недолго. Хотите отдать требуемое и пройти?
Resource quest rollover	(Принести: %s)	(Принести: %s)	(Принести: %s)	(Принести: %s)	(Принести: %s)	(Принести: %s)	(Принести: %s)	(Принести: %s)	(Принести: %s)
Resource quest log	%s: Провидец %s	%s: Провидец %s	%s: Провидец %s	%s: Открыть проход	%s: Открыть проход	%s: Открыть проход	%s: Пройти через врата	%s: Пройти через врата	%s: Пройти через врата
Be hero quest	У меня кое-что есть — но только для героя %s. И ни для кого больше.	Я ищу своего пропавшего родственника. Это герой %s. Больше я ни с кем разговаривать не собираюсь.	У меня кое-что есть — но только для героя %s. И ни для кого больше.	Местная стража говорит, что у неё приказ: пропускать только героя %s.	Местная стража говорит, что у неё приказ: пропускать только героя %s.	Местная стража говорит, что у неё приказ: пропускать только героя %s.	Местная стража говорит, что у неё приказ: пропускать только героя %s.	Местная стража говорит, что у неё приказ: пропускать только героя %s.	Местная стража говорит, что у неё приказ: пропускать только героя %s.
Be hero quest progress	Ты не %s. Проваливай!	Ты не %s. Проваливай!	Ты не %s. Проваливай!	Местная стража пропустит только героя %s.	Местная стража пропустит только героя %s.	Местная стража пропустит только героя %s.	Местная стража пропустит только героя %s.	Местная стража пропустит только героя %s.	Местная стража пропустит только героя %s.
Be hero quest complete	Наконец-то! Это вы, %s. Вот что у меня есть для вас. Берёте?	Наконец-то! Это ты, %s. Вот что у меня есть для тебя. Возьмёшь?	Наконец-то! Это вы, %s. Вот что у меня есть для вас. Берёте?	Наконец-то, это вы, %s. Желаете пройти?	Наконец-то, это вы, %s. Желаете пройти?	Наконец-то, это вы, %s. Желаете пройти?	Наконец-то, это вы, %s. Желаете пройти?	Наконец-то, это вы, %s. Желаете пройти?	Наконец-то, это вы, %s. Желаете пройти?
Be hero quest rollover	(Прислать героя: %s)	(Прислать героя: %s)	(Прислать героя: %s)	(Прислать героя: %s)	(Прислать героя: %s)	(Прислать героя: %s)	(Прислать героя: %s)	(Прислать героя: %s)	(Прислать героя: %s)
Be hero quest log	Прислать героя %s: Провидец %s	Прислать героя %s: Провидец %s	Прислать героя %s: Провидец %s	Прислать героя %s: Открыть проход	Прислать героя %s: Открыть проход	Прислать героя %s: Открыть проход	Прислать героя %s: Пройти через врата	Прислать героя %s: Пройти через врата	Прислать героя %s: Пройти через врата
Belong to player quest	У меня есть награда для того, кто носит %s флаг.	У меня есть награда для того, кто носит %s флаг.	У меня есть награда для того, кто носит %s флаг.	Местная стража пропускает только тех, у кого %s флаг.	Местная стража пропускает только тех, у кого %s флаг.	Местная стража пропускает только тех, у кого %s флаг.	Местная стража пропускает только тех, у кого %s флаг.	Местная стража пропускает только тех, у кого %s флаг.	Местная стража пропускает только тех, у кого %s флаг.
Belong to player quest progress	Ваш флаг не %s. У меня нет ничего для вас. Убирайтесь!	Ваш флаг не %s. У меня нет ничего для вас. Убирайтесь!	Ваш флаг не %s. У меня нет ничего для вас. Убирайтесь!	Местная стража пропускает только тех, у кого %s флаг.	Местная стража пропускает только тех, у кого %s флаг.	Местная стража пропускает только тех, у кого %s флаг.	Местная стража пропускает только тех, у кого %s флаг.	Местная стража пропускает только тех, у кого %s флаг.	Местная стража пропускает только тех, у кого %s флаг.
Belong to player quest complete	О, вы несёте %s флаг. Вот ваша награда. Примете её?	О, вы несёте %s флаг. Вот ваша награда. Примете её?	О, вы несёте %s флаг. Вот ваша награда. Примете её?	Стражи заметили ваш %s флаг и позволяют вам пройти. Хотите сделать это сейчас?	Стражи заметили ваш %s флаг и позволяют вам пройти. Хотите сделать это сейчас?	Стражи заметили ваш %s флаг и позволяют вам пройти. Хотите сделать это сейчас?	Стражи заметили ваш %s флаг и позволяют вам пройти. Хотите сделать это сейчас?	Стражи заметили ваш %s флаг и позволяют вам пройти. Хотите сделать это сейчас?	Стражи заметили ваш %s флаг и позволяют вам пройти. Хотите сделать это сейчас?
Belong to player quest rollover	(Только для игрока: %s)	(Только для игрока: %s)	(Только для игрока: %s)	(Только для игрока: %s)	(Только для игрока: %s)	(Только для игрока: %s)	(Только для игрока: %s)	(Только для игрока: %s)	(Только для игрока: %s)
Belong to player quest log									
