	Description		
Магия Земли	"{Базовая магия Земли}

Базовая магия Земли позволяет герою творить заклинания Земли по уменьшенной цене."	"{Продвинутая магия Земли}

Продвинутая магия Земли позволяет герою творить заклинания Земли по уменьшенной цене и с увеличенной эффективностью."	"{Экспертная магия Земли}

Экспертная магия Земли позволяет герою творить заклинания Земли по уменьшенной цене и с максимальной эффективностью."
Грамотность	"{Базовая грамотность}

Базовая грамотность позволяет героям учить друг друга заклинаниям 1 и 2 уровня, эффективно обмениваясь заклинаниями между книгами заклинаний."	"{Продвинутая грамотность}

Продвинутая грамотность позволяет героям учить друг друга заклинаниям вплоть до 3 уровня, эффективно обмениваясь заклинаниями между книгами заклинаний."	"{Экспертная грамотность}

Экспертная грамотность позволяет героям учить друг друга заклинаниям вплоть до 4 уровня, эффективно обмениваясь заклинаниями между книгами заклинаний."
Тактика	"{Базовая тактика}

Базовая тактика позволяет реорганизовывать свои отряды прямо перед боем, в пределах трёх рядов клеток от командующего героя."	"{Продвинутая тактика}

Продвинутая тактика позволяет реорганизовывать свои отряды прямо перед боем, в пределах пяти рядов клеток от командующего героя."	"{Экспертная тактика}

Эксперт тактика позволяет реорганизовывать свои отряды прямо перед боем, в пределах семи рядов клеток от командующего героя."
Артиллерия	"{Базовая артиллерия}

Базовая артиллерия даёт герою контроль над Стрелковыми Башнями, Баллистой и Пушкой, позволяя Баллисте с 50% вероятностью нанести двойной урон, а Пушке наносить увеличенный ущерб укреплениям."	"{Продвинутая артиллерия}

Продвинутая артиллерия даёт герою контроль над Стрелковыми Башнями, Баллистой и Пушкой, позволяя Баллисте с 75% вероятностью нанести двойной ущерб и стрелять дважды, а Пушке наносить двойной урон и увеличенный ущерб укреплениям."	"{Экспертная артиллерия}

Экспертная артиллерия даёт герою контроль над Стрелковыми Башнями, Баллистой и Пушкой, позволяя Баллисте делать выстрелы, наносящие двойной ущерб, и стрелять дважды, а Пушке наносить тройной урон и максимальный ущерб укреплениям."
Обучаемость	"{Базовая обучаемость}

Базовая обучаемость увеличивает приобретённый опыт героя на 5%."	"{Продвинутая обучаемость}

Продвинутая обучаемость увеличивает приобретённый опыт героя на 10%."	"{Экспертная обучаемость}

Экспертная обучаемость увеличивает приобретённый опыт героя на 15%."
Нападение	"{Базовое нападение}

Базовое нападение увеличивает все прямое повреждение, наносимое отрядами героя, на 10%."	"{Продвинутое нападение}

Продвинутое нападение увеличивает все прямое повреждение, наносимое отрядами героя, на 20%."	"{Экспертное нападение}

Экспертное нападение увеличивает все прямое повреждение, наносимое отрядами героя, на 30%."
Доспехи	"{Базовые доспехи}

Базовые доспехи уменьшают повреждение, наносимое отрядам героя, на 5%."	"{Продвинутые доспехи}

Продвинутые доспехи уменьшают повреждение, наносимое отрядам героя, на 10%."	"{Экспертные доспехи}

Экспертные доспехи уменьшают повреждение, наносимое отрядам героя, на 15%."
Интеллект	"{Базовый интеллект}

Базовый интеллект увеличивает нормальный максимум маны героя на 20%."	"{Продвинутый интеллект}

Продвинутый интеллект увеличивает нормальный максимум маны героя на 35%."	"{Экспертный интеллект}

Экспертный интеллект  увеличивает нормальный максимум маны героя на 50%."
Волшебство	"{Базовое волшебство}

Базовое волшебство заставляет заклинания героя наносить в бою дополнительные 5% повреждения."	"{Продвинутое волшебство}

Продвинутое волшебство заставляет заклинания героя наносить в бою дополнительные 10% повреждения."	"{Экспертное волшебство}

Экспертное волшебство заставляет заклинания героя наносить в бою дополнительные 15% повреждения."
Сопротивление	"{Базовое сопротивление}

Базовое сопротивление увеличивает шанс сопротивляться вражескому заклинанию в бою на 5%."	"{Продвинутое сопротивление}

Продвинутое сопротивление увеличивает шанс сопротивляться вражескому заклинанию в бою на 10%."	"{Экспертное сопротивление}

Экспертное сопротивление увеличивает шанс сопротивляться вражескому заклинанию в бою на 20%."
Первая помощь	"{Базовая первая помощь}

Базовая первая помощь даёт контроль над палаткой первой помощи герою, излечивая 50 пунктов повреждения у первого подразделения в выбранной группе."	"{Продвинутая первая помощь}

Продвинутая первая помощь даёт контроль над палаткой первой помощи герою, излечивая 75 пунктов повреждения у первого подразделения в выбранной группе."	"{Экспертная первая помощь}

Экспертная первая помощь даёт контроль над палаткой первой помощи герою, излечивая 100 пунктов повреждения у первого подразделения в выбранной группе."
