Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)
Пегас	Пегасы	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	0	10	20	Летает. Увеличивает стоимость заклинаний противника на 2.	DOUBLE_WIDE | FLYING_ARMY
Серебряный Пегас	Серебряные Пегасы	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	0	10	16	Летает. Увеличивает стоимость заклинаний противника на 2.	DOUBLE_WIDE | FLYING_ARMY
Дендроид	Дендроиды	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	0	8	16	Связывающие путы.	0
Дендроид-Солдат	Дендроиды-Солдаты	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	0	8	12	Связывающие путы.	0
Единорог	Единороги	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	0	5	12	Увеличивает шанс стоящих рядом существ сопротивляться враждебной магии на 20%. Ослепляющая атака.	DOUBLE_WIDE
Боевой Единорог	Боевые Единороги	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	Увеличивает шанс стоящих рядом существ сопротивляться враждебной магии на 20%. Ослепляющая атака.	DOUBLE_WIDE
Зелёный Дракон	Зелёные Драконы	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	0	4	10	Летает. Огненное дыхание. Иммунитет к заклинаниям 1-3 уровня.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Золотой Дракон	Золотые Драконы	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	0	3	8	Летает. Огненное дыхание. Иммунитет к заклинаниям 1-4 уровня.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Гремлин	Гремлины	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	0	20	50		0
Гремлин-Мастер	Гремлины-Мастера	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	0	20	30	Стреляет.	SHOOTING_ARMY
Каменная Горгулья	Каменные Горгульи	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	0	16	30	Бескровное существо. Летает.	FLYING_ARMY
Обсидиановая Горгулья	Обсидиановые Горгульи	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	0	16	25	Бескровное существо. Летает.	FLYING_ARMY
Каменный Голем	Каменные Големы	0	0	0	0	0	0	150	339	250	6	0	30	3	7	10	4	5	0	0	12	25	Голем. Урон от заклинаний снижается на 50%.	0
Железный Голем	Железные Големы	0	0	0	0	0	0	200	412	412	6	0	35	5	9	10	4	5	0	0	12	20	Голем. Урон от заклинаний снижается на 75%.	0
Маг	Маги	0	0	0	0	0	0	350	418	570	4	0	25	5	11	8	7	9	24	0	10	20	Стреляет без штрафа за препятствия. Нет штрафа при рукопашной. Снижает стоимость заклинаний героя на 2.	SHOOTING_ARMY | const_no_melee_penalty
Архимаг	Архимаги	0	0	0	0	0	0	450	467	680	4	0	30	7	12	9	7	9	24	0	10	16	Стреляет без штрафа за препятствия. Нет штрафа при рукопашной. Снижает стоимость заклинаний героя на 2.	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty
Джинн	Джинны	0	0	0	0	0	0	550	680	884	3	0	40	7	12	12	13	16	0	0	8	16	Летает. Ненавидит ифритов.	FLYING_ARMY
Верховный Джинн	Верховные Джинны	0	0	0	0	0	0	600	748	942	3	0	40	11	12	12	13	16	0	3	8	12	Летает. Колдует случайное заклинание. Ненавидит ифритов.	FLYING_ARMY
Нага	Наги	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	20	20	0	0	5	12	Враг не отвечает на атаку.	DOUBLE_WIDE
Нага-Королева	Королевы Наг	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	16	13	30	30	0	0	5	10	Враг не отвечает на атаку.	DOUBLE_WIDE
Гигант	Гиганты	0	0	0	0	0	1	2000	3146	3718	1	0	150	7	19	16	40	60	0	0	4	10	Иммунитет к магии разума.	KING_3
Титан	Титаны	0	0	0	0	0	2	5000	5000	7500	1	0	300	11	24	24	40	60	24	0	3	8	Стреляет. Нет штрафа при рукопашной. Иммунитет к магии разума. Ненавидит Чёрных Драконов.	SHOOTING_ARMY | const_no_melee_penalty | KING_3
                                   																								
																								
																								
Бес	Бесы	0	0	0	0	0	0	50	50	50	15	8	4	5	2	3	1	2	0	0	20	50		0
Чёрт	Черти	0	0	0	0	0	0	60	60	60	15	8	4	7	4	4	1	2	0	0	20	30	Кража магии.	0
Гог	Гоги	0	0	0	0	0	0	125	145	159	8	0	13	4	6	4	2	4	12	0	16	30	Стреляет.	SHOOTING_ARMY
Магог	Магоги	0	0	0	0	0	0	175	210	240	8	0	13	6	7	4	2	4	24	0	16	25	Стреляет огненным шаром.	SHOOTING_ARMY
Адская Гончая	Адские Гончие	0	0	0	0	0	0	200	275	357	5	3	25	7	10	6	2	7	0	0	12	25		DOUBLE_WIDE | FLYING_ARMY
Цербер	Церберы	0	0	0	0	0	0	250	308	392	5	3	25	8	10	8	2	7	0	0	12	20	Враг не отвечает на атаку. Атакует тремя головами.	DOUBLE_WIDE | FLYING_ARMY
Демон	Демоны	0	0	0	0	0	0	250	445	445	4	0	35	5	10	10	7	9	0	0	10	20		0
Рогатый Демон	Рогатые Демоны	0	0	0	0	0	0	270	480	480	4	0	40	6	10	10	7	9	0	0	10	16		0
Отродье Пропасти	Отродья Пропасти	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	0	8	16		0
Властитель Пропасти	Властители Пропасти	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	0	1	8	12	Поднимает Демонов из тел павших союзников.	0
Ифрит	Ифриты	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	0	5	12	Летает. Иммунитет к огню. Ненавидит джиннов.	0
Ифрит-Султан	Султаны Ифритов	0	0	0	0	0	0	1100	1802	2343	2	0	90	13	16	14	16	24	0	0	5	10	Летает. Огненный щит. Иммунитет к огню. Ненавидит джиннов.	0
Дьявол	Дьяволы	0	1	0	0	0	0	2700	3759	5101	1	0	160	11	19	21	30	40	0	0	4	10	Телепортация. -1 к удаче противника. Враг не отвечает на атаку. Ненавидит ангелов.	FLYING_ARMY | KING_2
Архидьявол	Архидьяволы	0	2	0	0	0	0	4500	5243	7115	1	0	200	17	26	28	30	40	0	0	3	8	Телепортация. -2 к удаче противника. Враг не отвечает на атаку. Ненавидит ангелов.	FLYING_ARMY | KING_2
																								
																								
																								
Скелет	Скелеты	0	0	0	0	0	0	60	75	60	12	6	6	4	5	4	1	3	0	0	20	50	Нежить.	IS_UNDEAD
Скелет-Воин	Скелеты-Воины	0	0	0	0	0	0	70	85	85	12	6	6	5	6	6	1	3	0	0	20	30	Нежить.	IS_UNDEAD
Ходячий Мертвец	Ходячие Мертвецы	0	0	0	0	0	0	100	140	98	8	0	15	3	5	5	2	3	0	0	16	30	Нежить.	IS_UNDEAD
Зомби	Зомби	0	0	0	0	0	0	125	160	128	8	0	20	4	5	5	2	3	0	0	16	25	Нежить. Заражает болезнью.	IS_UNDEAD
Дух	Духи	0	0	0	0	0	0	200	231	252	7	0	18	5	7	7	3	5	0	0	12	25	Нежить. Летает. Регенерирует.	FLYING_ARMY | IS_UNDEAD
Привидение	Привидения	0	0	0	0	0	0	230	252	315	7	0	18	7	7	7	3	5	0	0	12	20	Нежить. Летает. Регенерирует. Кража маны.	FLYING_ARMY | IS_UNDEAD
Вампир	Вампиры	0	0	0	0	0	0	360	518	555	4	0	30	6	10	9	5	8	0	0	10	20	Нежить. Летает. Враг не отвечает на атаку.	FLYING_ARMY | IS_UNDEAD
Вампир-Лорд	Лорды Вампиров	0	0	0	0	0	0	500	652	783	4	0	40	9	10	10	5	8	0	0	10	16	Нежить. Летает. Враг не отвечает на атаку. Вампиризм.	FLYING_ARMY | IS_UNDEAD
Лич	Личи	0	0	0	0	0	0	550	742	848	3	0	30	6	13	10	11	13	12	0	8	16	Нежить. Стреляет облаком смерти.	SHOOTING_ARMY | IS_UNDEAD
Могущественный Лич	Могущественные Личи	0	0	0	0	0	0	600	889	1079	3	0	40	7	13	10	11	15	24	0	8	12	Нежить. Стреляет облаком смерти.	SHOOTING_ARMY | IS_UNDEAD
Чёрный Рыцарь	Чёрные Рыцари	0	0	0	0	0	0	1200	1753	2087	2	0	120	7	16	16	15	30	0	0	5	12	Нежить. Проклинающая атака.	DOUBLE_WIDE | IS_UNDEAD
Рыцарь Ужаса	Рыцари Ужаса	0	0	0	0	0	0	1500	2029	2382	2	0	120	9	18	18	15	30	0	0	5	10	Нежить. Проклинающая атака. Смертельный удар.	DOUBLE_WIDE | IS_UNDEAD
Костяной Дракон	Костяные Драконы	0	0	0	0	0	0	1800	2420	3388	1	0	150	9	17	15	25	50	0	0	4	10	Нежить. Летает. -1 к боевому духу противника.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
Призрачный Дракон	Призрачные Драконы	0	1	0	0	0	0	3000	3228	4696	1	0	200	14	19	17	25	50	0	0	3	8	Нежить. Летает. -1 к боевому духу противника. Атака старит врага.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
																								
																								
																								
Троглодит	Троглодиты	0	0	0	0	0	0	50	73	59	14	7	5	4	4	3	1	3	0	0	20	50	Иммунитет к Ослеплению и Окаменению.	0
Троглодит-Охотник	Троглодиты-Охотники	0	0	0	0	0	0	65	84	84	14	7	6	5	5	4	1	3	0	0	20	30	Иммунитет к Ослеплению и Окаменению.	0
Гарпия	Гарпии	0	0	0	0	0	0	130	140	154	8	0	14	6	6	5	1	4	0	0	16	30	Летает. Возвращается после атаки.	FLYING_ARMY
Гарпия-Ведьма	Гарпии-Ведьмы	0	0	0	0	0	0	170	196	238	8	0	14	9	6	6	1	4	0	0	16	25	Летает. Возвращается после атаки. Враг не отвечает на атаку.	FLYING_ARMY
Бехолдер	Бехолдеры	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	0	12	25	Стреляет. Нет штрафа при рукопашной.	SHOOTING_ARMY | const_no_melee_penalty
Зловещий Глаз	Зловещие Глаза	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	0	12	20	Стреляет. Нет штрафа при рукопашной.	SHOOTING_ARMY | const_no_melee_penalty
Медуза	Медузы	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	0	10	20	Стреляет. Нет штрафа при рукопашной. Окаменяющий взгляд.	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Медуза-Королева	Королевы Медуз	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	0	10	16	Стреляет. Нет штрафа при рукопашной. Окаменяющий взгляд.	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Минотавр	Минотавры	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	0	8	16	Всегда высокий боевой дух.	0
Минотавр-Король	Короли Минотавров	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	0	8	12	Всегда высокий боевой дух.	0
Мантикора	Мантикоры	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	0	5	12	Летает.	DOUBLE_WIDE | FLYING_ARMY
Скорпикора	Скорпикоры	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	0	5	10	Летает. Парализующее жало.	DOUBLE_WIDE | FLYING_ARMY
Красный Дракон	Красные Драконы	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	0	4	10	Летает. Огненное дыхание. Иммунитет к заклинаниям 1-3 уровня.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Чёрный Дракон	Чёрные Драконы	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	0	3	8	Летает. Огненное дыхание. Иммунитет к магии. Ненавидит Титанов.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Гоблин	Гоблины	0	0	0	0	0	0	40	60	60	15	8	5	5	4	2	1	2	0	0	20	50		0
Хобгоблин	Хобгоблины	0	0	0	0	0	0	50	65	78	15	8	5	7	5	3	1	2	0	0	20	30		0
Наездник на Волке	Наездники на Волках	0	0	0	0	0	0	100	130	130	9	0	10	6	7	5	2	4	0	0	16	30		DOUBLE_WIDE
Налётчик	Налётчики	0	0	0	0	0	0	140	174	203	9	0	10	8	8	5	3	4	0	0	16	25	Атакует дважды.	DOUBLE_WIDE
Орк	Орки	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	0	12	25	Стреляет.	SHOOTING_ARMY
Орк-Вождь	Вожди Орков	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	0	12	20	Стреляет.	SHOOTING_ARMY
Огр	Огры	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	0	10	20		0
Огр-Маг	Огры-Маги	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	0	3	10	16	Колдует Жажду Крови.	0
Птица Рух	Птицы Рух	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	11	15	0	0	8	16	Летает.	FLYING_ARMY | DOUBLE_WIDE
Птица Грома	Птицы Грома	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	11	15	0	0	8	12	Летает. Бьёт молнией.	FLYING_ARMY | DOUBLE_WIDE
Циклоп	Циклопы	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	0	5	12	Стреляет. Может стрелять по крепостным стенам.	SHOOTING_ARMY | CATAPULT
Циклоп-Король	Короли Циклопов	0	0	0	0	0	0	1100	1110	1443	2	0	70	8	17	13	16	20	24	0	5	10	Стреляет. Может стрелять по крепостным стенам.	SHOOTING_ARMY | CATAPULT
Чудище	Чудища	0	0	0	0	0	0	1500	3162	3162	1	0	160	6	17	17	30	50	0	0	4	10	Игнорирует 40% защиты противника.	DOUBLE_WIDE | KING_1
Древнее Чудище	Древние Чудища	0	0	0	0	1	0	3000	5397	6168	1	0	300	9	19	19	30	50	0	0	3	8	Игнорирует 80% защиты противника.	DOUBLE_WIDE | KING_1
																								
																								
																								
Гнолл	Гноллы	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	0	20	50		0
Гнолл-Мародёр	Гноллы-Мародёры	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	0	20	30		0
Ящер	Ящеры	0	0	0	0	0	0	110	115	126	9	0	14	4	5	6	2	3	12	0	16	30	Стреляет.	SHOOTING_ARMY
Ящер-Воин	Ящеры-Воины	0	0	0	0	0	0	140	130	156	9	0	15	5	6	8	2	5	24	0	16	25	Стреляет.	SHOOTING_ARMY
Горгона	Горгоны	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	8	16		DOUBLE_WIDE
Могучая Горгона	Могучие Горгоны	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	0	8	12	Смертельный взгляд.	DOUBLE_WIDE
Змий	Змии	0	0	0	0	0	0	220	215	268	8	0	20	9	7	9	2	5	0	0	12	25	Летает. Снимает полезные чары.	FLYING_ARMY
Ядовитый Змий	Ядовитые Змии	0	0	0	0	0	0	240	250	312	8	0	20	13	8	10	2	5	0	0	12	20	Летает. Снимает полезные чары. Ослабляющая атака.	FLYING_ARMY
Василиск	Василиски	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	0	10	20	Окаменяющая атака.	DOUBLE_WIDE
Великий Василиск	Великие Василиски	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	0	10	16	Окаменяющая атака.	DOUBLE_WIDE
Виверна	Виверны	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	0	5	12	Летает.	DOUBLE_WIDE | FLYING_ARMY
Виверна-Монарх	Виверны-Монархи	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	Летает. Отравляет ядом.	DOUBLE_WIDE | FLYING_ARMY
Гидра	Гидры	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	0	4	10	Атакует всех стоящих рядом врагов. Враги не отвечают на атаку.	DOUBLE_WIDE | KING_1
Гидра Хаоса	Гидры Хаоса	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	0	3	8	Атакует всех стоящих рядом врагов. Враги не отвечают на атаку.	DOUBLE_WIDE | KING_1
																								
																								
																								
Воздушный Элементаль	Воздушные Элементали	0	0	0	0	0	0	250	324	356	6	0	25	7	9	9	2	8	0	0	8	12	Элементаль. Иммунитет к Метеоритному Дождю. Уязвим к молниям и Армагеддону. +100% к урону по земляным элементалям.	0
Земляной Элементаль	Земляные Элементали	0	0	0	0	0	0	400	415	330	4	0	40	4	10	10	4	8	0	0	16	30	Элементаль. Иммунитет к молниям и Армагеддону. Уязвим к Метеор. Дождю. +100% к урону по воздушным элементалям.	0
Огненный Элементаль	Огненные Элементали	0	0	0	0	0	0	350	345	345	5	0	35	6	10	8	4	6	0	0	10	20	Элементаль. Иммунитет к огню. Уязвим ко льду. +100% к урону по водным элементалям.	0
Водный Элементаль	Водные Элементали	0	0	0	0	0	0	300	315	315	6	0	30	5	8	10	3	7	0	0	12	25	Элементаль. Иммунитет ко льду. Уязвим к Огненному Шару, Инферно и Армагеддону. +100% к урону по огненным элементалям.	0
Золотой Голем	Золотые Големы	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	0	10	16	Голем. Урон от заклинаний снижается на 85%.	0
Алмазный Голем	Алмазные Големы	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	0	8	12	Голем. Урон от заклинаний снижается на 95%.	0
																								
																								
																								
Пикси	Пикси	0	0	0	0	0	0	25	40	55	20	10	3	7	2	2	1	2	0	0	20	50	Летает.	FLYING_ARMY
Фея	Феи	0	0	0	0	0	0	30	70	95	20	10	3	9	2	2	1	3	0	0	20	30	Летает. Враг не отвечает на атаку.	FLYING_ARMY | const_free_attack
Психический Элементаль	Психические Элементали	0	0	0	0	0	0	950	1431	1669	2	0	75	7	15	13	10	20	0	0	5	12	Элементаль. Атакует всех стоящих рядом врагов. Враги не отвечают на атаку. -50% урона по существам c имм. к магии разума.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
Элементаль Магии	Элементали Магии	0	0	0	0	0	0	1200	1724	2012	2	0	80	9	15	13	15	25	0	0	5	10	Элементаль. Атакует всех стоящих рядом врагов. Враги не отвечают на атаку. Имм. к магии. -50% урона по сущ. c имм. к магии.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Элементаль Льда	Элементали Льда	0	0	0	0	0	0	375	315	380	6	0	30	6	8	10	3	7	24	3	12	20	Элементаль. Стреляет. Имм. ко льду. Уязв. к Огн. Шару, Инферно и Армагеддону. +100% к урону по огн. элем. Колдует Защ. от Воды.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (2)	NOT USED (2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Элементаль Магмы	Элементали Магмы	0	0	0	0	0	0	500	490	490	4	0	40	6	11	11	6	10	0	3	16	25	Элементаль. Имм. к молниям и Армагеддону. Уязв. к Метеор. Дождю. +100% к урону по возд. элементалям. Колдует Защ. от Земли.	IMMUNE_TO_MIND_SPELLS
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Элементаль Шторма	Элементали Шторма	0	0	0	0	0	0	275	324	486	6	0	25	8	9	9	2	8	24	3	6	12	Элемент. Стреляет. Имм. к Метеор. Дождю. Уязв. к молниям и Армагеддону. +100% к урону по земл. элем. Колд. Защ. от Воздуха.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Элементаль Энергии	Элементали Энергии	0	0	0	0	0	0	400	360	470	5	0	35	8	12	8	4	6	0	3	10	16	Элементаль. Летает. Иммунитет к огню. Уязвим ко льду. +100% к урону по водным элементалям. Колдует Защиту от Огня.	IMMUNE_TO_MIND_SPELLS | IMMUNE_TO_FIRE_SPELLS | FLYING_ARMY
Огненная Птица	Огненные Птицы	0	0	0	0	0	0	2000	3097	4336	1	0	150	15	18	18	30	40	0	0	4	10	Летает. Огненное дыхание. Урон от заклинаний огня снижается на 50%.	DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
Феникс	Фениксы	0	1	0	0	0	0	3000	4929	6721	1	0	200	21	21	18	30	40	0	1	3	8	Летает. Огненное дыхание. Иммунитет к огню. Возрождается из пепла.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
																								
																								
																								
Лазурный Дракон	Лазурные Драконы	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	Летает. Огненное дыхание. Страх. Иммунитет к заклинаниям 1-3 уровня.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Кристальный Дракон	Кристальные Драконы	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	Приносит кристаллы. 20% шанс сопротивляться вражескому заклинанию.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Сказочный Дракон	Сказочные Драконы	0	0	0	0	0	8	10000	16317	30501	1	0	500	15	20	20	20	30	0	5	1	3	Летает. Колдует атакующие заклинания. Защищён волшебным зеркалом.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Ржавый Дракон	Ржавые Драконы	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	Летает. Огненное дыхание. Кислотное дыхание.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Чародей	Чародеи	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	Стреляет без штрафа за препятствия. Нет штрафа при рукопашной. Колдует массовые заклинания.	SHOOTING_ARMY | const_no_melee_penalty
Снайпер	Снайперы	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12	Стреляет без штрафа за расстояние и препятствия.	SHOOTING_ARMY
Полурослик	Полурослики	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	Стреляет. Всегда положительная удача.	SHOOTING_ARMY
Крестьянин	Крестьяне	0	0	0	0	0	0	10	15	15	25	0	1	3	1	1	1	1	0	0	20	50		
Наездник на Кабане	Наездники на Кабанах	0	0	0	0	0	0	150	145	145	8	0	15	6	6	5	2	3	0	0	16	30		
Мумия	Мумии	0	0	0	0	0	0	300	270	270	7	0	30	5	7	7	3	5	0	0	12	25	Нежить. Проклинающая атака.	
Кочевник	Кочевники	0	0	0	0	0	0	200	285	345	7	0	30	7	9	8	2	6	0	0	12	25	Проводник в песках.	
Вор	Воры	0	0	0	0	0	0	100	135	135	8	0	10	6	8	3	2	4	0	0	16	30	Шпионаж.	
Тролль	Тролли	0	0	0	0	0	0	500	1024	1024	3	0	40	7	14	7	10	15	0	0	8	12	Регенерация.	
																								
																								
																								
Катапульта	Катапульты	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	0	Боевая машина. Атакует только крепостные стены.	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
